AAL,AMERICAN AIRLINES GROUP INC COM,18.59,+1.87,+11.18%,"428,617,120",19.08,19.09,22.80,17.80,-1.88,"7,862 M",171.70%
HTZ,HERTZ GLOBAL HOLDINGS INC COM,2.57,+1.07,+71.33%,"342,187,112",2.87,2.89,3.70,2.31,-1.45,366 M,443.50%
LK,LUCKIN COFFEE INC ADR SPONSORED,5.51,+1.46,+36.05%,"232,054,120",5.61,5.62,6.79,4.81,-9.13,"1,395 M",311.36%
OAS,OASIS PETROLEUM INC COM,1.2600,+.703,+126.21%,"228,523,240",1.2500,1.2600,1.3000,.6814,-13.65,408 M,305.60%
F,FORD MOTOR CO COM,7.34,+.77,+11.72%,"208,648,166",7.32,7.34,7.50,7.02,-.78,"29,191 M",73.33%
XSPA,XPRESSPA GROUP INC COM,2.37,+.47,+24.74%,"190,776,420",2.29,2.30,2.94,2.01,-4.33,256 M,<empty>
GE,GENERAL ELECTRIC CO COM,7.88,+.14,+1.81%,"167,811,633",7.89,7.91,8.56,7.83,-.33,"68,927 M",66.57%
VAL,VALARIS PLC COM CL A,.9300,+.5752,+162.12%,"137,483,273",.9200,.9400,.9810,.3885,-14.58,192 M,562.68%
CPE,CALLON PETROLEUM CO COM,1.38,+.5574,+67.76%,"132,784,069",1.38,1.41,1.44,1.05,.88,548 M,282.50%
VISL,VISLINK TECHNOLOGIES INC COM,.9999,-.1401,-12.29%,"124,129,162",1.0000,1.0100,1.4700,.8700,-.48,88 M,<empty>
RIG,TRANSOCEAN LIMITED COM,2.50,+.84,+50.60%,"104,761,467",2.62,2.65,2.62,2.0302,-2.41,"1,599 M",176.69%
GNUS,GENIUS BRANDS INTL INC COM,5.94,-.92,-13.41%,"102,487,700",6.09,6.10,7.35,5.00,-.94,572 M,<empty>
NIO,NIO INC ADR,5.59,-.38,-6.37%,"90,811,832",5.62,5.70,6.075,5.52,-1.448,"5,950 M",121.87%
MFA,MFA FINANCIAL INC COM,2.83,+.51,+21.98%,"90,268,904",3.02,3.08,3.40,2.76,.79,"1,282 M",213.51%
M,MACY'S INC COM,8.77,+.56,+6.82%,"76,114,478",8.91,8.96,9.60,8.68,1.81,"2,716 M",156.40%
MRO,MARATHON OIL CORPORATION COM,7.32,+1.09,+17.50%,"65,424,624",7.45,7.49,7.45,6.79,.32,"5,785 M",97.63%
FRSX,FORESIGHT AUTONOMOUS HLDGS LTD ADR SPONSORED,1.10,+.1926,+21.23%,"55,833,299",1.16,1.17,1.95,1.0348,-.5226,50 M,<empty>
GCI,GANNETT CO INC COM,2.81,+1.42,+102.16%,"55,506,775",2.86,2.90,3.44,1.45,-2.23,371 M,311.85%
IVR,INVESCO MORTGAGE CAPITAL INC COM,4.23,+.65,+18.16%,"53,794,211",4.50,4.55,5.04,4.12,2.42,698 M,169.21%
ABEV,AMBEV SA ADR SPONSORED,2.82,+.18,+6.82%,"50,237,881",2.87,2.90,2.90,2.77,.1466,"44,367 M",55.36%
JBLU,JETBLUE AIRWAYS CORPORATION COM,13.69,+.67,+5.15%,"48,444,842",14.00,14.02,15.51,13.32,.8,"3,692 M",93.60%
BIOC,BIOCEPT INC COM,.4797,-.0601,-11.13%,"47,304,013",.5600,.5650,.5179,.4500,-.72,63 M,<empty>
WLL,WHITING PETROLEUM CORP COM,1.38,+.5305,+62.45%,"47,235,606",1.36,1.42,1.4100,.9200,-41.58,126 M,318.38%
VALE,VALE S.A. ADR SPONSORED,11.04,+.20,+1.85%,"46,686,554",10.91,11.10,11.325,10.90,.04,"56,634 M",46.85%
ITUB,ITAU UNIBANCO HOLDINGS S.A. ADR SPONSORED,5.53,+.28,+5.33%,"39,388,470",5.29,5.60,5.79,5.45,.5536,"53,985 M",42.04%
SIRI,SIRIUS XM HOLDINGS INC COM,6.51,+.06,+0.93%,"37,423,141",6.45,6.49,6.73,6.46,.23,"28,508 M",48.18%
APA,APACHE CORP COM,16.07,+3.07,+23.62%,"36,336,841",16.45,16.50,16.60,14.33,-21.17,"6,065 M",110.43%
PLAY,DAVE & BUSTER'S ENTERTAINMENT COM,18.89,-.59,-3.03%,"34,246,979",19.01,19.06,23.43,17.89,2.94,895 M,185.20%
SRNE,SORRENTO THERAPEUTICS INC COM,4.12,+.26,+6.74%,"33,729,243",4.22,4.23,4.56,4.00,-1.83,864 M,175.47%
NOK,NOKIA OYJ ADR SPONSORED,4.46,+.18,+4.21%,"33,115,866",4.45,4.48,4.50,4.41,.0664,"25,060 M",65.08%
QEP,QEP RESOURCES INC COM,1.7800,+.70,+64.81%,"32,737,834",1.8000,1.8600,1.8200,1.3600,1.62,431 M,265.58%
COTY,COTY INC COM CL A,5.08,+.24,+4.96%,"32,694,053",5.08,5.10,5.20,4.94,-4.05,"3,877 M",108.61%
CDEV,CENTENNIAL RESOURCE DEVELOPMEN COM CL A,1.49,+.34,+29.57%,"32,154,559",1.61,1.62,1.50,1.19,-1.9,413 M,284.75%
PBR,PETROLEO BRASILEIRO SA ADR SPONSORED,9.29,+.57,+6.54%,"32,100,765",9.24,9.29,9.415,9.16,-.08,"60,590 M",63.63%
LTM,LATAM AIRLINES GROUP SA ADR SPONSORED,2.11,+.17,+8.76%,"31,931,429",2.15,2.21,2.38,2.01,-3.083,"1,280 M",282.90%
